"ADDR_ENG","MEMO_NO","REGISTRY_CODE","DELIVERY_DATE","v_region_id","v_str_region","v_str_mjdist","v_mjdist_code","v_str_dist","v_dist_code","v_str_lot_full","v_str_lot_ext_full","v_str_dd_full","v_str_estate","v_est_id","v_str_phase","v_phase_id","v_str_street_full","v_str_bldg_full","v_bldg_id","v_str_floor_full","v_str_floor_net","v_str_unit_full","v_str_unit_net","unit_id","v_has_carpark","v_has_roof","map_status","unparse_namestr","unit_num"
"FLAT 4 ON 22/F OF BLOCK B OF HILTON PLAZA, NO.3-9 SHA TIN CENTRE STREET, SHATIN","229804","IS","1996-06-0812.00.00","30","","SHA TIN","ST","SHATIN","ST","","","","HILTON PLAZA","E00467","","","NO.3-9 SHA TINCENTRESTREET","BLOCK B","B000000937","22/F ","22","FLAT 4","4","U000134106","0","0","Full Mapped - Flat"," ON OF  OF    ","1"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241225","SK","1996-01-1112.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"2ND FLOOR AND ROOF OF HOUSE NO. 4 AND PRIVATE OPEN SPACE NO. 3 OF YEE HONG VILLA, SAI KUNG, N.T.","240976","SK","1996-01-0412.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","YEE HONG VILLA","E01064","","","NO. 3 OF YEE HONG VILLA","HOUSE 4","B000075106","2ND FLOOR","2","","","U002027588","0","1","Full Mapped - Floor"," AND ROOF OF AND PRIVATE OPEN SPACE ","1"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241251","SK","1996-01-1212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"HOUSE NO. 7, PALM COVE VILLA, NG FAI TIN, WING LUNG ROAD, CLEARWATER BAY, SAI KUNG, N.T.","241270","SK","1996-01-1212.00.00","30","N.T.","SAI KUNG","SK"," CLEAR WATER BAY","K-SK / CWB","","","","PALM COVE VILLA","E06890","","","","23 NG FAI TIN","B000022455","","","","","U001864967","0","0","Full Mapped - Bldg"," NG FAI TIN WING LUNG ROAD CLEARWATER BAY  ","1"
"1ST FLOOR OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241271","SK","1996-01-1212.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON  ","0"
"BLOCK B, 1ST FLOOR, LAI YUEN, SAI KUNG, N.T.","241282","SK","1996-01-1212.00.00","30","N.T.","SAI KUNG","SK","","K-SK / CWB","","","","LAI YUEN","E000013993","","","","BLOCK A (DD221L 1782)","B000045713","1ST FLOOR","1","","","U002054661","0","0","Full Mapped - Floor","   ","1"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241038","SK","1996-01-0512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON","241317","SK","1996-01-1312.00.00","","","","","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON","0"
"SECOND FLOOR & THE MAIN ROOF OF THE BUILDING, SAI KUNG, N.T.","241349","SK","1996-01-1512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," & THE MAIN ROOF OF  ","0"
"G/F. OF AND IN MESSUAGES ERECTIONS AND BUILDINGS THEREON.","241353","SK","1996-01-1512.00.00","","","","","","","","","","","","","",""," AND BUILDING","","G/F","G/F","","","","0","0","No Estate Info",". OF AND IN MESSUAGES ERECTIONSS THEREON.","0"
"G/F. OF THE BUILDING, SAI KUNG, N.T.","241360","SK","1996-01-1512.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","G/F","G/F","","","","0","0","No Estate Info",". OF  ","0"
"1ST FLOOR OF THE BUILDING ERECTED THEREON","241364","SK","1996-01-1512.00.00","","","","","","","","","","","","","",""," THE BUILDING","","1ST FLOOR","1","","","","0","0","No Estate Info"," OF ERECTED THEREON","0"
"2ND FLOOR AND ROOF OF THE BUILDING ERECTED THEREON, SAI KUNG, N.T.","241449","SK","1996-01-1612.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","",""," THE BUILDING","","2ND FLOOR","2","","","","0","1","No Estate Info"," AND ROOF OF ERECTED THEREON  ","0"
"FRONT PORTION OF 2ND FLOOR AND ROOF OF BLOCK B OF THE BUILDINGS ERECTED THEREON, SAI KUNG, N.T.","241455","SK","1996-01-1712.00.00","30","N.T.","SAI KUNG","SK","","","","","","","","","","","BLOCK B ","","2ND FLOOR","2","","","","0","1","No Estate Info","FRONT PORTION OF  AND ROOF OF OF THE BUILDINGS ERECTED THEREON  ","0"
